"species","frequency_wc","freq"
"Juncus alpinoarticulatus","-0.68","38"
"Juncus articulatus","-0.517","829"
"Juncus bufonius","-0.184","512"
"Juncus bulbosus","-0.686","168"
"Juncus compressus","-0.488","77"
"Juncus conglomeratus","-0.571","678"
"Juncus effusus","-0.908","2020"
"Juncus filiformis","-0.866","480"
"Juncus gerardii","-0.284","79"
"Juncus inflexus","-0.391","249"
"Juncus ranarius","-0.105","22"
"Juncus squarrosus","-0.957","55"
"Juncus tenuis","-0.16","90"
"Juniperus communis","-1.64","77"
"Jurinea mollis","0","30"
"Kickxia elatine","0.523","25"
"Kickxia spuria","0.496","36"
"Knautia arvensis agg.","-0.537","1509"
"Knautia drymeia","-1.904","62"
"Knautia maxima","-1.604","37"
"Koeleria glauca","0","31"
"Koeleria macrantha","-0.534","664"
"Koeleria pyramidata","-0.597","382"
"Lactuca perennis","-0.577","56"
"Lactuca serriola","-0.287","672"
"Lamium album","-0.648","596"
"Lamium amplexicaule","0.377","561"
"Lamium maculatum","-1.647","747"
"Lamium purpureum","-0.179","769"
"Lapsana communis","-1.222","1086"
"Larix decidua","-1.946","151"
"Laserpitium latifolium","-1.722","26"
"Laserpitium prutenicum","-1.23","26"
"Lathraea squamaria","-1.947","30"
"Lathyrus latifolius","-0.71","48"
"Lathyrus linifolius","-1.377","33"
"Lathyrus niger","-1.957","409"
"Lathyrus pannonicus","-1.687","27"
"Lathyrus pratensis","-0.387","2241"
"Lathyrus sylvestris","-1.215","38"
"Lathyrus tuberosus","0.063","316"
"Lathyrus vernus","-1.982","1074"
"Leersia oryzoides","-0.553","206"
"Lemna gibba","-0.322","408"
"Lemna minor","-0.515","3630"
"Lemna trisulca","-0.361","444"
"Leontodon hispidus","-0.321","1440"
"Leonurus cardiaca","-0.516","73"
"Lepidium campestre","-1.092","38"
"Lepidium coronopus","0.787","38"
"Lepidium draba","-0.43","218"
"Lepidium ruderale","0.289","215"
"Leucanthemum vulgare agg.","-0.39","1801"
"Libanotis pyrenaica","-1.102","49"
"Ligusticum mutellina","-0.968","40"
"Ligustrum vulgare","-1.865","241"
"Lilium martagon","-1.918","367"
"Limosella aquatica","-0.22","198"
"Linaria genistifolia","-1.398","109"
"Linaria vulgaris","-0.749","402"
"Linum catharticum","-0.336","725"
"Linum flavum","-0.702","34"
"Linum tenuifolium","-0.061","80"
"Listera ovata","-1.463","117"
"Littorella uniflora","-0.673","28"
"Lolium multiflorum","0.051","81"
"Lolium perenne","-0.004","1491"
"Lonicera nigra","-1.949","90"
"Lonicera xylosteum","-1.949","333"
"Lotus corniculatus","-0.616","1799"
"Lotus maritimus","-0.194","121"
"Lotus pedunculatus","-0.362","496"
"Lotus tenuis","-0.333","108"
"Lunaria rediviva","-1.9","186"
"Luzula campestris agg.","-0.913","1948"
"Luzula luzulina","-2","21"
"Luzula luzuloides","-1.899","1410"
"Luzula pilosa","-1.919","475"
"Luzula sylvatica","-1.794","216"
"Lychnis flos-cuculi","-0.468","1756"
"Lycium barbarum","-1.343","30"
"Lycopodium annotinum","-1.939","63"
"Lycopsis arvensis","0.503","135"
"Lycopus europaeus","-0.971","1470"
"Lysimachia nemorum","-1.709","437"
"Lysimachia nummularia","-1.238","1556"
"Lysimachia thyrsiflora","-1.169","209"
"Lysimachia vulgaris","-1.097","2114"
"Lythrum hyssopifolia","-0.118","23"
"Lythrum salicaria","-0.777","1511"
"Lythrum virgatum","-0.196","21"
"Maianthemum bifolium","-1.961","1148"
"Malva neglecta","0.204","228"
"Matricaria chamomilla","0.394","258"
"Matricaria discoidea","0.357","825"
"Medicago falcata","-0.508","464"
"Medicago lupulina","-0.207","1087"
"Medicago minima","-0.393","55"
"Medicago sativa","-0.083","139"
"Melampyrum arvense","-0.22","97"
"Melampyrum cristatum","-1.632","62"
"Melampyrum nemorosum","-1.794","267"
"Melampyrum pratense","-1.929","701"
"Melampyrum sylvaticum","-1.49","70"
"Melica ciliata","-1.171","50"
"Melica nutans","-1.957","1209"
"Melica picta","-1.818","34"
"Melica transsilvanica","-0.858","216"
"Melica uniflora","-1.98","523"
"Melilotus albus","-0.241","318"
"Melilotus dentatus","-0.206","61"
"Melilotus officinalis","-0.232","273"
"Melittis melissophyllum","-1.968","230"
"Mentha aquatica","-0.746","267"
"Mentha arvensis","-0.564","911"
"Mentha longifolia","-0.566","413"
"Mentha pulegium","-0.261","68"
"Mentha x verticillata agg.","-0.648","165"
"Menyanthes trifoliata","-0.769","281"
"Mercurialis annua","0.085","114"
"Mercurialis perennis","-1.966","1489"
"Meum athamanticum","-0.063","58"
"Microrrhinum minus","-0.027","153"
"Microthlaspi perfoliatum","-0.896","133"
"Milium effusum","-1.941","749"
"Minuartia setacea","-0.573","39"
"Moehringia trinervia","-1.872","1036"
"Molinia caerulea agg.","-1.443","1052"
"Monotropa hypopitys","-2","21"
"Montia fontana ssp. amporitana","-0.491","20"
"Muscari comosum","-0.648","33"
"Muscari tenuiflorum","-0.893","33"
"Mycelis muralis","-1.941","1430"
"Myosotis arvensis","-0.306","1093"
"Myosotis caespitosa","-1.029","65"
"Myosotis discolor","-0.237","35"
"Myosotis palustris agg.","-1.029","2428"
"Myosotis ramosissima","-0.959","97"
"Myosotis sparsiflora","-1.574","35"
"Myosotis stricta","-0.424","218"
"Myosotis sylvatica","-1.93","315"
"Myosoton aquaticum","-1.001","505"
"Myosurus minimus","0.171","35"
"Myriophyllum alterniflorum","-0.517","42"
"Myriophyllum spicatum","-0.499","328"
"Myriophyllum verticillatum","-0.573","64"
"Najas marina","-0.435","40"
"Nardus stricta","-0.803","1038"
"Nasturtium officinale","-0.634","25"
"Neottia nidus-avis","-2","205"
"Neslia paniculata","0.4","262"
"Nitella flexilis","-0.513","46"
"Noccaea caerulescens","-1.047","61"
"Noccaea montana","-1.79","39"
"Nonea pulla","-0.375","49"
"Nuphar lutea","-0.548","323"
"Nymphaea alba","-0.502","34"
"Nymphaea candida","-0.5","70"
"Nymphoides peltata","-0.439","37"
"Odontites luteus","0","47"
"Odontites vernus","0.013","194"
"Oenanthe aquatica","-0.626","792"
"Oenothera biennis s.lat.","-0.286","117"
"Omphalodes scorpioides","-1.874","30"
"Onobrychis arenaria","-0.015","57"
"Onobrychis viciifolia","-0.089","80"
"Ononis spinosa","-0.145","355"
"Onopordum acanthium","-0.565","69"
"Ophioglossum vulgatum","-0.943","27"
"Origanum vulgare","-1.358","259"
"Ornithogalum umbellatum agg.","-0.842","70"
"Orthilia secunda","-2","30"
"Oxalis acetosella","-1.914","2363"
"Oxalis stricta","-0.339","199"
"Oxytropis pilosa","-0.289","72"
"Papaver argemone","0.229","93"
"Papaver dubium agg.","0.114","70"
"Papaver rhoeas","0.256","605"
"Papaver somniferum","0.344","21"
"Paris quadrifolia","-1.961","508"
"Parnassia palustris","-0.622","204"
"Pastinaca sativa","-0.223","507"
"Pedicularis palustris","-0.669","96"
"Pedicularis sylvatica","-0.514","68"
"Peplis portula","-0.349","196"
"Persicaria amphibia","-0.573","872"
"Persicaria hydropiper","-0.698","1038"
"Persicaria lapathifolia","-0.193","1573"
"Persicaria maculosa","0.049","511"
"Persicaria minor","-0.9","107"
"Persicaria mitis","-0.762","132"
"Petasites albus","-1.744","555"
"Petasites hybridus","-1.071","336"
"Petasites kablikianus","-1.046","37"
"Petrorhagia prolifera","-0.019","25"
"Peucedanum alsaticum","-1.171","43"
"Peucedanum cervaria","-1.42","283"
"Peucedanum oreoselinum","-1.113","61"
"Peucedanum ostruthium","-1.217","21"
"Peucedanum palustre","-1.194","322"
"Phalaris arundinacea","-1.001","1891"
"Phegopteris connectilis","-1.873","215"
"Phleum alpinum","-0.503","43"
"Phleum phleoides","-0.878","372"
"Phleum pratense","-0.2","802"
"Phragmites australis","-0.816","1246"
"Phyteuma nigrum","-1.16","61"
"Phyteuma spicatum","-1.694","436"
"Picea abies","-1.956","1708"
"Picris hieracioides","-0.285","222"
"Pilosella bauhini","-1.03","116"
"Pilosella caespitosa agg.","-0.189","33"
"Pilosella cymosa","-1.384","62"
"Pilosella echioides","-0.767","52"
"Pilosella lactucella","-0.506","87"
"Pilosella officinarum","-1.071","1034"
"Pimpinella major","-1.058","543"
"Pimpinella saxifraga","-0.862","1574"
"Pinguicula vulgaris ssp. vulgaris","-0.908","30"
"Pinus mugo","-1.843","98"
"Pinus nigra","-1.595","24"
"Pinus sylvestris","-1.945","800"
"Pinus uncinata ssp. uliginosa","-2","51"
"Plantago lanceolata","-0.157","3113"
"Plantago major","-0.246","2019"
"Plantago maritima","-0.122","37"
"Plantago media","-0.285","995"
"Plantago uliginosa","-0.11","534"
"Platanthera bifolia","-1.817","155"
"Platanthera chlorantha","-1.706","20"
"Poa annua","-0.213","1749"
"Poa bulbosa","-0.572","116"
"Poa chaixii","-1.221","113"
"Poa compressa","-0.59","629"
"Poa nemoralis","-1.871","2540"
"Poa palustris","-0.785","1089"
"Poa pratensis agg.","-0.756","3609"
"Poa remota","-1.661","25"
"Poa supina","-0.752","20"
"Poa trivialis","-0.793","3016"
"Polygala amarella","-1.105","22"
"Polygala chamaebuxus","-1.777","33"
"Polygala comosa","-0.516","132"
"Polygala major","-0.088","85"
"Polygala vulgaris","-0.711","340"
"Polygonatum multiflorum","-1.981","666"
"Polygonatum odoratum","-1.855","453"
"Polygonatum verticillatum","-1.925","413"
"Polygonum aviculare agg.","0.203","2218"
"Polypodium vulgare agg.","-1.837","294"
"Polystichum aculeatum","-1.984","105"
"Populus nigra","-1.429","28"
"Populus tremula","-1.813","172"
"Portulaca oleracea","0.43","32"
"Potamogeton acutifolius","-0.45","67"
"Potamogeton alpinus","-0.641","49"
"Potamogeton crispus","-0.484","406"
"Potamogeton gramineus","-0.517","43"
"Potamogeton lucens","-0.515","190"
"Potamogeton natans","-0.542","651"
"Potamogeton nodosus","-0.485","62"
"Potamogeton obtusifolius","-0.464","89"
"Potamogeton perfoliatus","-0.5","50"
"Potamogeton pusillus agg.","-0.487","333"
"Potamogeton trichoides","-0.496","87"
"Potentilla alba","-1.638","165"
"Potentilla anserina","-0.243","712"
"Potentilla argentea","-0.448","486"
"Potentilla aurea","-0.7","107"
"Potentilla erecta","-0.962","1961"
"Potentilla heptaphylla","-0.61","332"
"Potentilla incana","-0.618","701"
"Potentilla norvegica","-0.439","41"
"Potentilla puberula","-0.661","28"
"Potentilla recta","-1.24","26"
"Potentilla reptans","-0.425","677"
"Potentilla supina","-0.15","178"
"Potentilla verna","-0.464","389"
"Prenanthes purpurea","-1.947","827"
"Primula elatior","-1.678","642"
"Primula veris","-1.645","415"
"Prunella grandiflora","-0.253","155"
"Prunella laciniata","-0.919","31"
"Prunella vulgaris","-0.669","1250"
"Prunus avium","-1.822","186"
"Prunus domestica","-1.116","26"
"Prunus fruticosa","-1.17","66"
"Prunus mahaleb","-1.555","27"
"Prunus padus ssp. padus","-1.921","245"
"Prunus spinosa","-1.542","343"
"Pseudofumaria lutea","-0.954","25"
"Pteridium aquilinum","-1.825","90"
"Puccinellia distans","0.038","133"
"Pulicaria vulgaris","-0.079","32"
"Pulmonaria angustifolia","-1.465","39"
"Pulmonaria mollis","-1.632","53"
"Pulmonaria officinalis agg.","-1.957","1286"
"Pulsatilla alpina ssp. alba","-0.881","30"
"Pulsatilla grandis","-0.374","77"
"Pulsatilla pratensis ssp. bohemica","-0.719","125"
"Pyrus communis","-1.816","34"
"Pyrus pyraster","-1.684","55"
"Quercus petraea agg.","-1.961","1236"
"Quercus pubescens agg.","-1.909","56"
"Quercus robur","-1.929","722"
"Ranunculus acris","-0.349","2838"
"Ranunculus arvensis","0.523","79"
"Ranunculus auricomus agg.","-1.088","1458"
"Ranunculus bulbosus","-0.123","210"
"Ranunculus flammula","-0.833","499"
"Ranunculus lanuginosus","-1.891","338"
"Ranunculus nemorosus","-1.354","88"
"Ranunculus platanifolius","-1.512","102"
"Ranunculus polyanthemos","-0.939","294"
"Ranunculus repens","-0.938","3511"
"Ranunculus sardous","0.197","25"
"Ranunculus sceleratus","-0.48","478"
"Raphanus raphanistrum","0.444","468"
"Rapistrum perenne","-0.888","21"
"Reseda lutea","-0.395","159"
"Reseda luteola","-0.025","20"
"Reynoutria japonica et x bohemica","-0.935","121"
"Rhamnus cathartica","-1.718","132"
"Rhinanthus alectorolophus","0.053","28"
"Rhinanthus major","-0.319","36"
"Rhinanthus minor","-0.129","458"
"Rhinanthus riphaeus","-0.544","20"
"Rhododendron tomentosum","-1.917","44"
"Rhynchospora alba","-0.814","62"
"Ribes alpinum","-1.894","87"
"Ribes rubrum","-1.862","64"
"Ribes uva-crispa","-1.836","357"
"Riccia fluitans","-0.435","176"
"Riccia rhenana","-0.469","95"
"Ricciocarpos natans","-0.462","117"
"Robinia pseudoacacia","-1.373","349"
"Rorippa amphibia","-0.628","408"
"Rorippa palustris","-0.367","659"
"Rorippa sylvestris","-0.446","155"
"Rosa canina agg.","-1.521","380"
"Rosa gallica","-1.565","68"
"Rosa pendulina","-1.862","69"
"Rosa rubiginosa agg.","-1.273","24"
"Rosa spinosissima","-1.5","23"
"Rubus caesius","-1.376","740"
"Rubus fruticosus agg.","-1.783","1585"
"Rubus idaeus","-1.757","1927"
"Rumex acetosa","-0.382","2913"
"Rumex acetosella","-0.982","1057"
"Rumex alpinus","-0.991","28"
"Rumex aquaticus","-0.9","141"
"Rumex arifolius","-1.441","212"
"Rumex conglomeratus","-1.322","65"
"Rumex crispus","-0.137","964"
"Rumex hydrolapathum","-0.739","91"
"Rumex maritimus","-0.402","611"
"Rumex obtusifolius","-0.832","1318"
"Rumex sanguineus","-1.701","116"
"Rumex thyrsiflorus","-0.195","69"
"Sagina procumbens","-0.146","230"
"Sagittaria sagittifolia","-0.604","298"
"Salix alba","-1.097","64"
"Salix aurita","-1.661","66"
"Salix caprea","-1.497","121"
"Salix cinerea","-1.487","104"
"Salix euxina","-1.398","170"
"Salix purpurea","-1.167","72"
"Salix repens agg.","-0.774","57"
"Salix silesiaca","-1.285","26"
"Salix triandra","-0.933","61"
"Salix viminalis","-0.661","54"
"Salvia glutinosa","-1.871","164"
"Salvia nemorosa","-0.577","100"
"Salvia pratensis","-0.658","670"
"Salvia verticillata","-0.403","195"
"Salvinia natans","-0.313","23"
"Sambucus ebulus","-0.456","40"
"Sambucus nigra","-1.769","763"
"Sambucus racemosa","-1.858","330"
"Sanguisorba minor","-0.522","934"
"Sanguisorba officinalis","-0.448","1805"
"Sanicula europaea","-1.978","478"
"Saponaria officinalis","-0.713","106"
"Saxifraga granulata","-0.464","184"
"Saxifraga paniculata","-0.909","28"
"Saxifraga rosacea ssp. sponhemica","-1.533","20"
"Scabiosa canescens","-0.649","164"
"Scabiosa columbaria","-0.513","23"
"Scabiosa ochroleuca","-0.383","618"
"Schoenoplectus lacustris","-0.656","198"
"Schoenoplectus tabernaemontani","-0.645","65"
"Scirpus radicans","-0.631","36"
"Scirpus sylvaticus","-0.725","1606"
"Scleranthus annuus","0.443","452"
"Scleranthus perennis","-0.93","209"
"Sclerochloa dura","0.673","57"
"Scorzonera hispanica","-0.927","45"
"Scorzonera humilis","-1.178","171"
"Scorzoneroides autumnalis","-0.251","543"
"Scrophularia nodosa","-1.813","1091"
"Scrophularia scopolii","-1.67","20"
"Scrophularia umbrosa","-0.988","60"
"Scutellaria galericulata","-0.994","646"
"Scutellaria hastifolia","-0.918","37"
"Securigera varia","-1.026","996"
"Sedum acre","-0.571","275"
"Sedum album","-0.728","292"
"Sedum reflexum","-1.303","179"
"Sedum sexangulare","-0.784","300"
"Selinum carvifolia","-1.013","344"
"Senecio aquaticus","-0.17","50"
"Senecio erraticus","-1.018","57"
"Senecio jacobaea","-0.487","196"
"Senecio nemorensis agg.","-1.837","2332"
"Senecio sylvaticus","-1.495","112"
"Senecio viscosus","-1.327","220"
"Senecio vulgaris","-0.154","269"
"Serratula tinctoria","-1.574","284"
"Seseli annuum","-0.484","67"
"Seseli hippomarathrum","-0.26","248"
"Seseli osseum","-0.895","327"
"Sesleria caerulea","-1.453","211"
"Setaria pumila","0.181","187"
"Setaria verticillata","0.369","44"
"Setaria viridis","0.306","229"
"Sherardia arvensis","0.519","253"
"Silaum silaus","-0.594","71"
"Silene baccifera","-1.049","33"
"Silene dioica","-1.573","422"
"Silene latifolia","-0.48","637"
"Silene noctiflora","0.442","399"
"Silene nutans","-1.802","396"
"Silene otites","-0.451","206"
"Silene vulgaris","-1.29","538"
"Sinapis alba","0.083","34"
"Sinapis arvensis","0.324","529"
"Sisymbrium altissimum","0.147","98"
"Sisymbrium loeselii","-0.294","189"
"Sisymbrium officinale","-0.037","311"
"Sium latifolium","-0.859","80"
"Solanum dulcamara","-1.154","615"
"Solanum lycopersicum","0.019","39"
"Solanum nigrum agg.","0.235","166"
"Soldanella montana","-1.9","75"
"Solidago canadensis","-0.585","269"
"Solidago gigantea","-0.869","144"
"Solidago virgaurea","-1.772","641"
"Sonchus arvensis","0.259","603"
"Sonchus asper","0.184","623"
"Sonchus oleraceus","-0.098","697"
"Sorbus aria agg.","-1.866","98"
"Sorbus aucuparia","-1.913","881"
"Sorbus torminalis","-1.958","176"
"Sparganium emersum","-0.646","420"
"Sparganium erectum","-0.687","644"
"Sparganium natans","-0.682","31"
"Spergula arvensis","0.486","386"
"Spergula morisonii","-0.145","71"
"Spergularia echinosperma","-0.249","29"
"Spergularia marina","0.038","32"
"Spergularia media","0.01","31"
"Spergularia rubra","0.086","214"
"Spiraea salicifolia","-1.661","27"
"Spirodela polyrhiza","-0.433","1602"
"Stachys alpina","-1.9","32"
"Stachys annua","0.426","77"
"Stachys palustris","-0.656","486"
"Stachys recta","-0.871","327"
"Stachys sylvatica","-1.812","887"
"Stellaria alsine","-1.219","345"
"Stellaria graminea","-0.313","1076"
"Stellaria holostea","-1.93","878"
"Stellaria media agg.","-0.877","1941"
"Stellaria nemorum","-1.692","885"
"Stellaria palustris","-0.826","133"
"Stipa capillata","-0.555","238"
"Stipa pennata","-0.634","136"
"Stipa pulcherrima","-0.362","73"
"Stipa tirsa","0","29"
"Stratiotes aloides","0","27"
"Streptopus amplexifolius","-1.901","69"
"Stuckenia pectinata","-0.474","376"
"Succisa pratensis","-0.565","619"
"Swertia perennis","-0.655","33"
"Symphyotrichum novi-belgii agg.","-1.095","165"
"Symphytum officinale","-0.922","1134"
"Symphytum tuberosum","-1.917","281"
"Tanacetum corymbosum","-1.838","671"
"Tanacetum vulgare","-0.371","684"
"Taraxacum sect. Erythrosperma","-0.853","55"
"Taraxacum sect. Palustria","-0.806","38"
"Taraxacum sect. Taraxacum","-0.753","4768"
"Taxus baccata","-1.924","22"
"Tephroseris crispa","-0.796","289"
"Teucrium botrys","-0.527","33"
"Teucrium chamaedrys","-1.175","534"
"Teucrium scordium","-0.483","29"
"Thalictrum aquilegiifolium","-1.688","116"
"Thalictrum flavum","-0.448","26"
"Thalictrum lucidum","-0.297","49"
"Thalictrum minus","-1.117","83"
"Thelypteris limbosperma","-1.784","20"
"Thelypteris palustris","-1.422","36"
"Thesium linophyllon","-0.901","105"
"Thlaspi arvense","0.397","1070"
"Thymus glabrescens","-0.724","129"
"Thymus pannonicus","-0.372","224"
"Thymus praecox","-0.893","474"
"Thymus pulegioides","-0.727","928"
"Thymus serpyllum","-0.998","109"
"Tilia cordata","-1.976","820"
"Tilia platyphyllos","-1.974","297"
"Tillaea aquatica","-0.301","28"
"Torilis japonica","-1.473","301"
"Tragopogon dubius","-0.208","28"
"Tragopogon orientalis","-0.17","242"
"Tragopogon pratensis","-0.327","65"
"Trapa natans","-0.497","31"
"Trichophorum alpinum","-0.804","76"
"Trichophorum cespitosum","-1.764","50"
"Trientalis europaea","-1.73","402"
"Trifolium alpestre","-1.64","388"
"Trifolium arvense","-0.311","464"
"Trifolium aureum","-0.265","30"
"Trifolium campestre","-0.273","308"
"Trifolium dubium","-0.029","456"
"Trifolium fragiferum","-0.019","73"
"Trifolium hybridum","-0.192","562"
"Trifolium medium","-0.97","449"
"Trifolium montanum","-0.734","312"
"Trifolium ochroleucon","-0.986","26"
"Trifolium pratense","-0.108","1675"
"Trifolium repens","-0.113","2252"
"Trifolium rubens","-1.153","45"
"Trifolium spadiceum","-0.249","49"
"Triglochin palustris","-0.626","72"
"Tripleurospermum inodorum","-0.015","2472"
"Tripolium pannonicum ssp. pannonicum","-0.101","46"
"Trisetum flavescens","-0.155","1358"
"Trollius altissimus","-0.547","215"
"Turritis glabra","-1.296","38"
"Tussilago farfara","-0.606","719"
"Typha angustifolia","-0.679","419"
"Typha latifolia","-0.66","967"
"Ulmus glabra","-1.967","407"
"Ulmus laevis","-1.831","36"
"Ulmus minor","-1.88","108"
"Urtica dioica","-1.428","5094"
"Urtica urens","0.185","104"
"Utricularia australis","-0.479","398"
"Utricularia minor agg.","-0.699","45"
"Vaccinium myrtillus","-1.837","2137"
"Vaccinium oxycoccos agg.","-1.798","415"
"Vaccinium uliginosum","-1.888","339"
"Vaccinium vitis-idaea","-1.832","687"
"Valeriana dioica","-0.82","843"
"Valeriana excelsa ssp. sambucifolia","-1.613","129"
"Valeriana officinalis","-1.208","141"
"Valeriana simplicifolia","-0.697","44"
"Valeriana stolonifera","-1.423","50"
"Valerianella dentata","0.224","160"
"Valerianella locusta","-0.54","82"
"Veratrum album ssp. lobelianum","-1.408","227"
"Verbascum chaixii ssp. austriacum","-1.496","129"
"Verbascum densiflorum","-0.908","33"
"Verbascum lychnitis","-1.024","282"
"Verbascum nigrum","-1.026","83"
"Verbascum phlomoides","-0.307","31"
"Verbascum phoeniceum","-0.6","71"
"Verbascum thapsus","-0.828","67"
"Verbena officinalis","-1.05","40"
"Veronica agrestis","0.528","52"
"Veronica anagallis-aquatica","-0.405","247"
"Veronica anagalloides","-0.291","21"
"Veronica arvensis","0.206","828"
"Veronica beccabunga","-1.113","323"
"Veronica catenata","-0.485","38"
"Veronica chamaedrys agg.","-1.35","3082"
"Veronica dillenii","-0.607","149"
"Veronica hederifolia agg.","-0.944","556"
"Veronica maritima","-0.366","53"
"Veronica montana","-1.891","290"
"Veronica officinalis","-1.75","850"
"Veronica opaca","0.523","29"
"Veronica orchidea","0","22"
"Veronica persica","0.372","1012"
"Veronica polita","0.404","391"
"Veronica praecox","-0.155","23"
"Veronica prostrata","-0.297","119"
"Veronica scutellata","-0.634","240"
"Veronica serpyllifolia","-0.219","185"
"Veronica spicata","-0.798","239"
"Veronica teucrium","-1.183","140"
"Veronica triloba","0.523","42"
"Veronica triphyllos","0.427","82"
"Veronica verna","-0.052","95"
"Viburnum lantana","-1.882","30"
"Viburnum opulus","-1.915","102"
"Vicia angustifolia","0.101","518"
"Vicia cracca","-0.377","1733"
"Vicia dumetorum","-1.952","35"
"Vicia hirsuta","-0.291","698"
"Vicia lathyroides","0.028","34"
"Vicia pisiformis","-1.97","38"
"Vicia sativa","0.112","122"
"Vicia sepium","-1.388","730"
"Vicia sylvatica","-1.944","120"
"Vicia tenuifolia","-1.081","107"
"Vicia tetrasperma","-0.536","614"
"Vicia villosa","0.035","68"
"Vinca minor","-1.987","32"
"Vincetoxicum hirundinaria","-1.715","524"
"Viola ambigua","-0.327","51"
"Viola arvensis","-0.112","1613"
"Viola biflora","-1.006","88"
"Viola canina","-0.701","390"
"Viola collina","-1.634","104"
"Viola hirta","-1.368","616"
"Viola lutea ssp. sudetica","-0.519","36"
"Viola mirabilis","-1.954","134"
"Viola odorata","-1.602","162"
"Viola palustris","-1.064","1027"
"Viola pumila","-0.058","28"
"Viola reichenbachiana","-1.964","1513"
"Viola riviniana","-1.907","519"
"Viola rupestris","-1.278","35"
"Viola tricolor","-0.814","181"
"Viscaria vulgaris","-1.605","390"
"Viscum album","-1.995","85"
"Willemetia stipitata","-0.888","57"
"Zannichellia palustris","-0.497","108"
